Position,Name,Nationality,Team,Points
1,Ayrton Senna (SEN),BRA,McLaren Honda,96
2,Nigel Mansell (MAN),GBR,Williams Renault,72
3,Riccardo Patrese (PAT),ITA,Williams Renault,53
4,Gerhard Berger (BER),AUT,McLaren Honda,43
5,Alain Prost (PRO),FRA,Ferrari,34
6,Nelson Piquet (PIQ),BRA,Benetton Ford,26.5
7,Jean Alesi (ALE),FRA,Ferrari,21
8,Stefano Modena (MOD),ITA,Tyrrell Honda,10
9,Andrea de Cesaris (DEC),ITA,Jordan Ford,9
10,Roberto Moreno (MOR),BRA,Minardi Ferrari,8
11,Pierluigi Martini (MAR),ITA,Minardi Ferrari,6
12,Jyrki Jarvilehto (JAR),FIN,Dallara Judd,4
12,Bertrand Gachot (GAC),FRA,Jordan Ford,4
12,Michael Schumacher (MSC),GER,Benetton Ford,4
15,Mika Hakkinen (HAK),FIN,Lotus Judd,2
15,Martin Brundle (BRU),GBR,Brabham Yamaha,2
15,Satoru Nakajima (NAK),JPN,Tyrrell Honda,2
18,Julian Bailey (BAI),GBR,Lotus Judd,1
18,Eric Bernard (BER),FRA,Lola Ford,1
18,Ivan Capelli (CAP),ITA,Leyton House Ilmor,1
18,Aguri Suzuki (SUZ),JPN,Lola Ford,1
18,Emanuele Pirro (PIR),ITA,Dallara Judd,1
18,Mark Blundell (BLU),GBR,Brabham Yamaha,1
24,Gianni Morbidelli (MOR),ITA,Ferrari,0.5
